"ID","Source","Target"
1028,Joseph Ince,Royal Microscopical Society
1028,Joseph Ince,Linnean Society of London
1028,Joseph Ince,Royal Pharmaceutical Society
1029,Robert Ingham,"Society for the Encouragement of Arts, Manufactures and Commerce"
1031,Robert M Inman,Royal Geographical Society
1033,A Ioannides,Royal College of Physicians
1040,Frederick R Izard,Royal Geographical Society
1042,Henry (the father) Jackson,Royal College of Surgeons
1042,Henry (the father) Jackson,Sheffield Literary and Philosophical Society
1043,Henry (the son) Jackson,Geological Society
1043,Henry (the son) Jackson,British Academy
1044,Henry Willan Jackson,Royal College of Surgeons
1045,Henry William (1) Jackson,Royal College of Surgeons
1046,J  Hughlings Jackson,Royal College of Physicians
1046,J  Hughlings Jackson,Medical and Chirurgical Society of London
1051,George Alexander James,Royal Geographical Society
1055,William Jardine,Royal Society
1055,William Jardine,Linnean Society of London
1058,Frederick John Jeffery,Historic Society of Lancashire and Cheshire
1061,Charles Jellicoe,Institute of Actuaries
1061,Charles Jellicoe,Royal Geographical Society
1061,Charles Jellicoe,Statistical Society
1063,William Jennings,Royal Geographical Society
1064,Leonard Jenyns LATER Blomefield,Linnean Society of London
1064,Leonard Jenyns LATER Blomefield,Geological Society
1064,Leonard Jenyns LATER Blomefield,Bath Royal Literary and Scientific Institution
1065,William Jepson,Royal College of Surgeons
1067,Henry Edward Jessop,Royal College of Surgeons
1068,Augustus Jessopp,Royal Geographical Society
1070,George Curling Joad,Zoological Society
1073,Henry Johnson,Zoological Society
1080,C  Treasure Jones,Royal Asiatic Society
1081,J  Pryce Jones,Royal Geographical Society
1083,John Jones,"Society of Archaeology, Namur, Brussels"
1083,John Jones,Geological Society
1087,William Arthur Jones,Geological Society
1087,William Arthur Jones,Somersetshire Archaeological and Natural History Society
1089,Algernon Joy,London Spiritualist Alliance
1089,Algernon Joy,National Association of Spiritualists of London
1089,Algernon Joy,British National Association of Spirtualists
1092,J  Beete Jukes,Royal Society
1097,x Kaup,Geological Society
1099,J W  (2) Kaye,Royal Society of Literature
1100,William Keene,Geological Society
1108,James Kernahan,Royal Society of Literature
1108,James Kernahan,Geological Society
1109,W B Kesteven,Royal College of Surgeons
1109,W B Kesteven,Medico Psychological Association
1110,Nicolai de Khanikof,Anthropological Society of Paris
1114,Edwin Holborow King,Pathological Society of London
1117,Richard King,"Ethnological Society, New York"
1117,Richard King,"Ethnological Society, Paris"
1118,S W King,Geological Society
1118,S W King,Society of Antiquaries
1118,S W King,Royal Geographical Society
1121,Charles Kingsley,Linnean Society of London
1121,Charles Kingsley,Geological Society
1122,W R H Kinlay,Royal Society of Edinburgh
1128,Samuel Kisch,Historic Society of Lancashire and Cheshire
1131,Robert Knox,Imperial Academy of Medicine of France
1131,Robert Knox,Anthropological Society of Paris
1131,Robert Knox,Royal Society of Edinburgh
1131,Robert Knox,Royal College of Surgeons Edinburgh
1141,George Lade,Royal College of Surgeons
1143,Samuel Laing,Geological Society
1144,Thomas Josiah Laing,Geological Society
1145,Thomas Lampray,Royal Geographical Society
1147,Jones Lamprey,Royal Geographical Society
1148,John Lancaster,Geological Society
1151,Vavasour Joseph Lane,Royal College of Surgeons
1152,Augustus Henry Lane Fox later Pitt Rivers,Society of Antiquaries
1152,Augustus Henry Lane Fox later Pitt Rivers,Geological Society
1152,Augustus Henry Lane Fox later Pitt Rivers,Royal Geographical Society
1152,Augustus Henry Lane Fox later Pitt Rivers,Royal Society
1152,Augustus Henry Lane Fox later Pitt Rivers,Anthropological Society of Paris
1152,Augustus Henry Lane Fox later Pitt Rivers,Societa Italiana di Antropologia e di Etnologia
1152,Augustus Henry Lane Fox later Pitt Rivers,Anthropological Society of Washington
1153,Andrew Lang,Folklore Society
1153,Andrew Lang,Society for Psychical Research
1153,Andrew Lang,British Academy
1160,Robert Gordon Latham,Royal Society
1160,Robert Gordon Latham,"Society for the Encouragement of Arts, Manufactures and Commerce"
1162,John Zachariah Laurence,Royal College of Surgeons
1164,Joseph Law,Sheffield Medical Society
1165,Edward Lawford,Society of Antiquaries
1166,Edward (1) Lawrence,Royal Geographical Society
1169,William Lawrence,Royal Society
1169,William Lawrence,Royal College of Surgeons
1177,Frederick George Lee,Society of Antiquaries
1179,John Lee (2),Royal Society
1179,John Lee (2),Royal Asiatic Society
1179,John Lee (2),Linnean Society of London
1179,John Lee (2),Geological Society
1179,John Lee (2),Society of Antiquaries
1179,John Lee (2),Royal Geographical Society
1180,John Edward Lee,Society of Antiquaries
1180,John Edward Lee,Caerleon Antiquarian Association
1181,Richard Lee,Royal College of Surgeons
1188,Louis Leguay,Societe Parisienne d'Archeologie et d'Histoire
1190,Henry Leighton,Zoological Society
1193,Arthur Charles Wriothesley Lennox,Geological Society
1197,W  Hanks Levy,Association for Promoting the General Welfare of the Blind
1197,W  Hanks Levy,Royal Geographical Society
1200,Charles Francis Lewis,Royal College of Physicians
1200,Charles Francis Lewis,Obstetrical Society of London
1200,Charles Francis Lewis,Royal College of Surgeons
1206,John Lister,Geological Society
1206,John Lister,Palaeontographical Society
1206,John Lister,Yorkshire Geological and Polytechnic Society
1206,John Lister,Zoological Society
1206,John Lister,Halifax Literary and Philosophical Society
1207,Joseph Lister,Royal Society
1209,F T Littey,Royal College of Surgeons
1211,Robert Liveing,Royal Botanic Society of London
1214,Edmund Lloyd,Royal College of Surgeons
1217,James L Lobley,Geological Society
1217,James L Lobley,Geologist's Association
1218,William Lockhart,Royal Geographical Society
1218,William Lockhart,Royal College of Surgeons
1219,Joseph Norman Lockyer,Royal Astronomical Society
1219,Joseph Norman Lockyer,Royal Institution
1221,J R Logan,Geological Society
1222,x Londesborough,Royal Society
1225,William Longman,Geological Society
1225,William Longman,Royal Society of Literature
1225,William Longman,Royal Geographical Society
1232,Mark Anthony Lower,Society of Antiquaries
1232,Mark Anthony Lower,Sussex Archaeological Society
1235,John Lubbock,Royal Society
1235,John Lubbock,Society of Antiquaries
1235,John Lubbock,Geological Society
1235,John Lubbock,Linnean Society of London
1235,John Lubbock,Anthropological Society of Paris
1235,John Lubbock,Anthropological Society of Berlin
1235,John Lubbock,Marine Biological Association of the United Kingdom
1237,Thomas Lucas,Field Naturalists Club of Victoria
1237,Thomas Lucas,Zoological Society
1237,Thomas Lucas,Linnean Society of London
1237,Thomas Lucas,Royal Society
1237,Thomas Lucas,Royal College of Surgeons
1237,Thomas Lucas,British Medical Association
1237,Thomas Lucas,Linnean Society of New South Wales
1238,William Charles Lucy,Geological Society
1238,William Charles Lucy,Bristol and Gloucester Archaeological Society
1240,William Collings Lukis,Society of Antiquaries
1241,Edward Lund,Royal College of Surgeons
1241,Edward Lund,Manchester Medical Society
1243,Coryndon H Luxmoore,Society of Antiquaries
1245,Charles Lyell,Royal Society
1245,Charles Lyell,Geological Society
1245,Charles Lyell,British Association
1246,Henry Bowden Lyle,Royal College of Surgeons
1249,D G F Macdonald,Royal Society of Literature
1249,D G F Macdonald,Royal Geographical Society
1250,William MacDonald,Linnean Society of London
1250,William MacDonald,Geological Society
1250,William MacDonald,Royal Society of Edinburgh
1255,Kenneth Robert Henderson Mackenzie,Society of Antiquaries
1255,Kenneth Robert Henderson Mackenzie,Royal Asiatic Society
1256,Samuel Joseph Mackie,Society of Antiquaries
1256,Samuel Joseph Mackie,Geological Society
1257,Draper Mackinder,Obstetrical Society of London
1257,Draper Mackinder,Royal College of Surgeons
1257,Draper Mackinder,Medical and Chirurgical Society of London
1260,Daniel Mackintosh,Geological Society
1261,David Mackintosh,Geological Society
1265,Samuel Maclean,Royal College of Surgeons Ireland
1265,Samuel Maclean,Medical and Chirurgical Society of London
1266,George Macleay,Linnean Society of London
1271,Charles Malcolm,Royal Geographical Society
1272,William Elphinstone Malcolm,Royal Geographical Society
1276,Robert James Mann,Royal College of Surgeons
1279,Clements Robert Markham,Royal Geographical Society
1292,H  Victor Martin,Royal College of Surgeons
1292,H  Victor Martin,Obstetrical Society of London
1293,J  Ranald Martin,Royal Society
1293,J  Ranald Martin,Royal College of Surgeons
1295,John (2) Martin,Linnean Society of London
1295,John (2) Martin,Geological Society
1295,John (2) Martin,Association Scientifique de Paris
1296,Richard Biddulph Martin,Royal Geographical Society
1296,Richard Biddulph Martin,Royal Statistical Society
1296,Richard Biddulph Martin,Childhood Society
1296,Richard Biddulph Martin,Child Study Society
1298,x Martin-Magron,Anthropological Society of Paris
1299,Nicholas Martindale,Liverpool District Provident Society
1310,Alfred Maury,Institute of France
1311,George Maw,Society of Antiquaries
1318,Joseph Mayer,Society of Antiquaries
1318,Joseph Mayer,Historic Society of Lancashire and Cheshire
1323,Alexander McArthur,Royal Geographical Society
1326,James McClelland,Glasgow Sunday Educational Association
1326,James McClelland,Glasgow Secular School Society
1329,James McCraith,Royal College of Surgeons
1331,John McDonnell,Cork Scientific and Literary Society
1335,Walter McLeod,Royal Geographical Society
1336,John Frederick McNair,Linnean Society of London
1338,Barr Meadows,Royal College of Physicians
1338,Barr Meadows,National Institution for Diseases of the Skin Edinburgh
1338,Barr Meadows,Royal College of Surgeons
1340,John Medd,Royal College of Surgeons
1343,James Aitken Meigs,Anthropological Society of Paris
1343,James Aitken Meigs,Academy of Natural Sciences Philadelphia
1344,John Magens Mello,Geological Society
1345,Robert Menzies,Royal College of Surgeons
1350,Edward Meryon,Royal Medical and Chirurgical Society
1353,Alexander Michie,Royal Geographical Society
1355,John M  (or H ) Middleton,Royal College of Physicians
1355,John M  (or H ) Middleton,Royal College of Surgeons
1358,William Augustus Miles,Statistical Society
1358,William Augustus Miles,"Museum d'Histoire Naturel, Paris"
1362,Joseph Milligan,Geological Society
1362,Joseph Milligan,Zoological Society
1362,Joseph Milligan,Linnean Society of London
1362,Joseph Milligan,Royal Academy of Sciences
1362,Joseph Milligan,Royal Society of Tasmania
1368,Henri Milne-Edwards,Royal Society
1368,Henri Milne-Edwards,Institute of France
1368,Henri Milne-Edwards,Geological Society
1369,W R Milner,Royal College of Surgeons
1370,x Milton,Royal Geographical Society
1372,B G Miraglia,Phrenopathic Society of Aversa
1377,Arthur Mitchell,Society of Antiquaries of Scotland
1377,Arthur Mitchell,Scottish History Society
1377,Arthur Mitchell,Royal Scottish Academy
1380,William Stephen Mitchell,Geological Society
1381,Rajendralala Mitra,Royal Asiatic Society
1382,St George J Mivart,Linnean Society of London
1382,St George J Mivart,Zoological Society
1382,St George J Mivart,Royal Institution
1382,St George J Mivart,Royal Society
1384,Robert G Moger,Royal College of Surgeons
1385,Matthew Moggridge,Geological Society
1385,Matthew Moggridge,Botanical Society of London
1385,Matthew Moggridge,Geologist's Association
1390,William Monk,Society of Antiquaries
1390,William Monk,Royal Asiatic Society
1393,Frederick Butler Montgomerie,Royal Geographical Society
1397,x Moon,Geological Society
1398,George Moore,British Archaeological Association
1398,George Moore,Historical Institute
1400,J  Daniel Moore,Linnean Society of London
1407,Modeliar P S Mootoosaumy,Royal College of Surgeons
1411,William Henry Morgan,Royal College of Surgeons
1414,James Cotter Morison,Royal Society of Literature
1415,Charles Adolphe Morlot,Geological Society
1416,David Morris,Society of Antiquaries
1421,J P Morris,Anthropological Society of Paris
1424,James Holmes Morrison,British Medical Association
1426,Walter Morrison,Palestine Exploration Fund
1427,Edward John Morshead,"Victoria Institute, or Philosophical Institute of Great Britain"
1438,Walter Moxon,Medical and Chirurgical Society of London
1439,J Muir,Royal Asiatic Society
1443,Friedrich Max Muller,Pali Text Society
1447,Francis Kerridge Munton,Royal Geographical Society
1448,Roderick Impey Murchison,Royal Society
1448,Roderick Impey Murchison,Royal Geographical Society
1448,Roderick Impey Murchison,Linnean Society of London
1448,Roderick Impey Murchison,British Association
1448,Roderick Impey Murchison,Royal Irish Academy
1451,J C Murray,Royal College of Physicians
1451,J C Murray,British Medical Association
1458,Dadabhai Naoroji,Literary and Philosophical Society of Liverpool
1459,Charles Ottley Groom Napier,Geological Society
1459,Charles Ottley Groom Napier,Linnean Society of London
1460,William Napier,Royal Geographical Society
1462,William Donald Napier,Royal College of Surgeons
1463,D W Nash,Society of Antiquaries
1464,Davyd William Nash,Royal Society of Literature
1467,Alexander Nasmyth,Royal Medical and Chirurgical Society
1467,Alexander Nasmyth,Royal College of Surgeons
1471,Francis G P Neison,Linnean Society of London
1475,Robert Stirling (1) Newall,Royal Society
1478,William Newmarch,Linnean Society of London
1479,P H Newnham,Royal Meteorological Society
1479,P H Newnham,Society for Psychical Research
1482,Robert S Newton,Eclectic Medical Society of New York
1483,Thomas Nicholas,Geological Society
1487,Charles Nicholson,Royal Society of Literature
1487,Charles Nicholson,Royal Geographical Society
1487,Charles Nicholson,Royal Asiatic Society
1487,Charles Nicholson,Society for Psychical Research
1487,Charles Nicholson,Royal Colonial Institute
1487,Charles Nicholson,Royal Society of Arts
1498,Roden Noel,Society for Psychical Research
1499,John Spencer Noldwritt,"Society for the Encouragement of Arts, Manufactures and Commerce"
1501,Henry Norsworthy,Zoological Society
1501,Henry Norsworthy,Botanical Society of London
1503,Samuel William North,Royal College of Surgeons
1503,Samuel William North,York Philosphical Society
1504,Josiah Clark Nott,Anthropological Society of Paris
1505,John Nottingham,Royal College of Surgeons
1505,John Nottingham,Royal College of Physicians
1505,John Nottingham,Society of Emulation of Paris
1505,John Nottingham,Royal Medical Society of Berlin
1505,John Nottingham,Academy of Medicine and Surgery of Madrid and Barcelona
1505,John Nottingham,Academy of Natural Sciences of Spain
1505,John Nottingham,Royal Society of Northern Antiquities Copenhagen
1506,Richard Maddock Nunn,Royal College of Surgeons
1509,P O'Callaghan,Society of Antiquaries
1510,Luke Smyth O'Connor,Royal Geographical Society
1512,Edward O'Riley,Royal Geographical Society
1514,William Ogilby,Zoological Society
1515,G H Ogston,Chemical Society
1519,Samuel Pasfield Oliver,Royal Geographical Society
1519,Samuel Pasfield Oliver,Society of Antiquaries
1522,John Benn Ormathwaite,Royal Geographical Society
1525,John William Willoughby Osborne,Geological Society
1526,Charles Otto,Phrenological Association
1527,Frederick Ouvry,Society of Antiquaries
1529,H  Burnard Owen,Royal Society of Literature
1529,H  Burnard Owen,Royal Geographical Society
1531,Richard Owen,Royal College of Surgeons
1531,Richard Owen,Royal Society
1531,Richard Owen,British Museum
1531,Richard Owen,Linnean Society of London
1531,Richard Owen,Somersetshire Archaeological and Natural History Society
1531,Richard Owen,"Society for the Encouragement of Arts, Manufactures and Commerce"
1532,Robert Brisco Owen,Linnean Society of London
1533,Samuel R J Owen,Linnean Society of London
1533,Samuel R J Owen,Royal Microscopical Society
1535,J D V Packman,Linnean Society of London
1538,Henry James Paine,Royal College of Surgeons
1539,William Paley,Royal College of Physicians
1539,William Paley,Medical and Chirurgical Society of London
1542,Silas Palmer,Society of Antiquaries
1542,Silas Palmer,British Archaeological Association
1543,Louis Philippe d'Orleans Paris,Royal Geographical Society
1555,Theodore D'Orville Partridge,Royal College of Surgeons
1555,Theodore D'Orville Partridge,Royal College of Physicians Edinburgh
1558,George K H Paterson,Royal College of Physicians Edinburgh
1559,Robert Paterson,Botanical Society of Edinburgh
1559,Robert Paterson,Wernerian Natural History Society
1561,B H Paul,Chemical Society
1563,Edward Peacock,Society of Antiquaries
1564,Thomas Bevill Peacock,Royal College of Physicians
1564,Thomas Bevill Peacock,Medical and Chirurgical Society of London
1566,Charles Thomas Pearce,Royal College of Surgeons
1567,Frederick Edward Pearse,Royal College of Physicians Edinburgh
1567,Frederick Edward Pearse,Royal College of Surgeons
1573,Robert Peel,Royal College of Surgeons
1579,William Perkins,Royal Geographical Society
1580,James Perrin,Natal Agricultural and Horticultural Society
1580,James Perrin,Pietermaritzburg Horticultural Society
1580,James Perrin,Natal Society
1581,John Beswick Perrin,Royal College of Surgeons
1581,John Beswick Perrin,Medical and Chirurgical Society of London
1584,George Michael Perry,Royal College of Surgeons
1586,S G F Perry,Leeds Philosophical and Literary Society
1590,George Petrie,Society of Antiquaries of Scotland
1594,Barnet Phillips,American Jewish Historical Society
1595,Benjamin Phillips,Royal Society
1600,Francois Jules Pictet,Geological Society
1602,George William Septimus Piesse,"Society for the Encouragement of Arts, Manufactures and Commerce"
1604,Bedford Pim,Royal Geographical Society
1605,Thomas Ryan Pinchis,Royal Society
1607,W Pinkerton,Society of Antiquaries
1609,John Plant,Geological Society
1617,George H Pope,Society for Psychical Research
1621,T Postans,Royal Asiatic Society
1621,T Postans,Royal Geographical Society
1628,Joseph Prestwich,Royal Society
1628,Joseph Prestwich,Zetetical Society
1628,Joseph Prestwich,Geological Society
1631,Frederick George Hilton Price,Society of Antiquaries
1631,Frederick George Hilton Price,Royal Geographical Society
1631,Frederick George Hilton Price,London Topographical Society
1631,Frederick George Hilton Price,Geological Society
1631,Frederick George Hilton Price,Geologist's Association
1631,Frederick George Hilton Price,Zoological Society
1631,Frederick George Hilton Price,Royal Numismatic Society
1634,James Cowles Prichard,Institute of France
1634,James Cowles Prichard,Royal Society
1635,Thomas Prichard,Royal College of Physicians
1642,William T Pritchard,Royal Geographical Society
1643,James C Proctor,Royal College of Surgeons
1647,Arthur Giles Puller,Society of Antiquaries
1651,H S Purdon,New York Dermatological Society
1652,Bernard Quaritch,Zoological Society
1658,James Rae,Royal Geographical Society
1658,James Rae,Chemical Society
1662,"A , jun Ramsay",Geological Society
1667,William Francis Ramsay,Royal College of Physicians
1668,Jabez Spence Ramskill,Royal College of Physicians
1671,Edwin Ransom,Royal Geographical Society
1671,Edwin Ransom,Royal Asiatic Society
1671,Edwin Ransom,Royal Agricultural Society
1673,Charles Ratcliff,Royal Society of Literature
1673,Charles Ratcliff,Royal Geographical Society
1673,Charles Ratcliff,Linnean Society of London
1673,Charles Ratcliff,Society of Antiquaries
1673,Charles Ratcliff,Geological Society
1673,Charles Ratcliff,"Society for the Encouragement of Arts, Manufactures and Commerce"
1674,Henry Rawlinson,Royal Society
1679,William Winwood Reade,Royal Geographical Society
1679,William Winwood Reade,Geographical Society of Paris
1684,Lestock Robert Reid,"Society for the Encouragement of Arts, Manufactures and Commerce"
1685,Ernest Renan,Anthropological Society of Paris
1685,Ernest Renan,Institute of France
1686,Charles Jeremiah Renshaw,Manchester Medical Society
1686,Charles Jeremiah Renshaw,British Medical Association
1691,Edward Jackson Riccard,Royal College of Surgeons
1696,James Coxon Richardson,Geological Society
1697,Francis Ignatio Rickard,Geological Society
1697,Francis Ignatio Rickard,Chemical Society
1704,"x Ripon, De Grey and",Royal Society
1708,John Henry Rivett-Carnac,Society of Antiquaries
1708,John Henry Rivett-Carnac,Geological Society
1708,John Henry Rivett-Carnac,Royal Asiatic Society
1710,Charles Robert des Ruffieres,Geological Society
1710,Charles Robert des Ruffieres,Royal Society of Literature
1710,Charles Robert des Ruffieres,Royal College of Surgeons
1712,George E Roberts,Geological Society
1712,George E Roberts,Anthropological Society of Paris
1712,George E Roberts,"Worcestershire, Severn Valley, Warwickshire and Naturalists' Field Club"
1712,George E Roberts,Worcestershire Archaeological Society
1715,Alexander Robertson (2),Medico Psychological Association
1718,Daniel Brooke Robertson,Royal Geographical Society
1720,Thomas Valentine Robins,Royal Geographical Society
1721,Edward Robinson,American Ethnological Society
1726,William Robinson,Anthropological Society of Paris
1727,Sampson Roch,Royal College of Surgeons
1728,"James, jun Rock","Society for the Encouragement of Arts, Manufactures and Commerce"
1730,Alfred S Rogers,Manx Society
1735,George Rolleston,Royal Society
