"ID","Source","Target"
1830,W Sharp,Royal Society
1830,W Sharp,Medical and Chirurgical Society of London
1831,W J Sharpe,Royal Geographical Society
1835,Frederick George Shaw,"Veterinary College, London"
1836,Norton Shaw,Royal Geographical Society
1842,William Henry Sherwood,Royal College of Physicians
1844,John Joseph Shillinglaw,Royal Geographical Society
1845,William Shipp,Palaeontographical Society
1846,John Shortt,Royal College of Physicians
1846,John Shortt,Royal College of Surgeons
1850,James Kay Shuttleworth,"Society for the Encouragement of Arts, Manufactures and Commerce"
1853,Ramon de Silva-Ferro,Geological Society
1853,Ramon de Silva-Ferro,Royal Geographical Society
1856,S F Simonson,Royal College of Surgeons
1858,H V Simpson,Royal College of Physicians
1858,H V Simpson,Royal College of Surgeons
1859,James Simpson,Cumberland and Westmorland Antiquarian and Archaeological Society
1861,J  Marrion Sims,Medical and Chirurgical Society of London
1863,R S Sisson,New Sydenham Society
1866,James Henry Skene,Royal Asiatic Society
